img,idx_label,RGB.redDN,RGB.greenDN,RGB.blueDN,RGB.2G_RBi,RGB.pctR,RGB.pctG,RGB.pctB,RGB.nNDVI,RGB.totalRGB,RGB.AnyColor
2022 06 22 12 00 00.JPG,181,163.728459,155.863846,90.066514,57.932718,0.399670,0.380472,0.219857,-0.024608,409.658819,-139.459277
2022 06 22 13 00 01.JPG,182,149.729597,138.657065,76.178268,51.406266,0.410708,0.380336,0.208957,-0.038395,364.564930,-136.030126
2022 06 22 14 00 00.JPG,183,166.019497,158.896530,95.383466,56.390097,0.395003,0.378055,0.226942,-0.021922,420.299492,-134.149095
2022 06 22 15 00 00.JPG,184,157.142665,152.759797,95.727492,52.649436,0.387404,0.376599,0.235997,-0.014143,405.629954,-118.447478
2022 06 22 16 00 01.JPG,185,166.610583,156.913661,88.278060,58.938678,0.404589,0.381041,0.214370,-0.029973,411.802304,-146.968124
2022 06 22 17 00 00.JPG,186,174.462488,161.391397,80.921033,67.399272,0.418601,0.387239,0.194160,-0.038919,416.774918,-174.011818
2022 06 22 18 00 00.JPG,187,193.626635,180.820508,96.006515,72.007865,0.411574,0.384353,0.204072,-0.034200,470.453658,-182.434113
2022 06 23 05 00 00.JPG,188,153.449760,152.817907,100.711373,51.474681,0.377046,0.375493,0.247461,-0.002063,406.979041,-104.844921
2022 06 23 06 00 01.JPG,189,166.574899,151.106191,80.787258,54.850225,0.418038,0.379218,0.202744,-0.048693,398.468348,-156.106574
2022 06 23 07 00 00.JPG,190,168.526258,149.142615,75.403237,54.355735,0.428741,0.379428,0.191831,-0.061018,393.072111,-166.862399
2022 06 23 08 00 00.JPG,191,170.321609,150.329290,78.412792,51.924179,0.426803,0.376705,0.196492,-0.062349,399.063692,-163.825315
2022 06 23 09 00 01.JPG,192,168.036148,151.991544,85.214511,50.732429,0.414656,0.375063,0.210280,-0.050135,405.242202,-149.598670
2022 06 23 10 00 00.JPG,193,166.414932,155.215354,92.854860,51.160916,0.401498,0.374477,0.224025,-0.034821,414.485145,-135.920567
2022 06 23 11 00 00.JPG,194,164.335445,151.870732,87.235295,52.170724,0.407334,0.376438,0.216228,-0.039420,403.441472,-141.735587
2022 06 23 12 00 01.JPG,195,149.691073,136.226115,74.427393,48.333765,0.415411,0.378044,0.206545,-0.047094,360.344581,-137.062402
2022 06 23 13 00 00.JPG,196,131.212041,120.046105,61.574067,47.306103,0.419433,0.383740,0.196828,-0.044440,312.832213,-128.110012
2022 06 23 14 00 00.JPG,197,152.689013,138.832412,71.924791,53.051020,0.420114,0.381989,0.197897,-0.047532,363.446215,-147.671843
2022 06 23 15 00 01.JPG,198,156.531102,141.757777,71.059318,55.925133,0.423804,0.383805,0.192391,-0.049527,369.348198,-156.170243
2022 06 23 16 00 00.JPG,199,162.281041,148.786085,74.265371,61.025759,0.421145,0.386124,0.192731,-0.043383,385.332497,-162.536384
2022 06 23 17 00 00.JPG,200,176.720571,161.088750,76.942774,68.514156,0.426087,0.388398,0.185515,-0.046274,414.752095,-183.923774
2022 06 23 18 00 01.JPG,201,190.670435,176.524387,88.529603,73.848736,0.418390,0.387349,0.194261,-0.038525,455.724425,-190.135615
2022 06 24 05 00 00.JPG,202,166.658680,157.108367,84.831203,62.726852,0.407879,0.384506,0.207615,-0.029497,408.598250,-154.104642
2022 06 24 06 00 00.JPG,203,157.212668,154.781183,100.601280,51.748418,0.381034,0.375141,0.243826,-0.007793,412.595131,-110.791292
2022 06 24 07 00 00.JPG,204,170.014560,158.248939,90.697794,55.785523,0.405800,0.377717,0.216483,-0.035842,418.961292,-146.867910
2022 06 24 08 00 01.JPG,205,165.102930,156.435184,91.278267,56.489171,0.399943,0.378946,0.221111,-0.026957,412.816381,-138.981581
2022 06 24 09 00 00.JPG,206,167.666197,157.534434,90.271085,57.131585,0.403556,0.379170,0.217274,-0.031155,415.471716,-144.658460
2022 06 24 10 00 00.JPG,207,160.474455,151.843694,86.941115,56.271819,0.401930,0.380314,0.217756,-0.027635,399.259264,-138.435920
2022 06 24 11 00 01.JPG,208,169.551492,158.136610,90.086753,56.634976,0.405844,0.378521,0.215635,-0.034835,417.774856,-147.514597
2022 06 24 12 00 00.JPG,209,163.544620,152.422434,88.287656,53.012593,0.404558,0.377046,0.218396,-0.035200,404.254710,-139.391743
2022 06 24 13 00 00.JPG,210,142.299486,130.980837,71.100720,48.561469,0.413204,0.380337,0.206459,-0.041418,344.381043,-131.078884
2022 06 24 14 00 01.JPG,211,164.478148,154.041869,91.229707,52.375883,0.401411,0.375941,0.222647,-0.032765,409.749725,-136.060603
2022 06 24 15 00 00.JPG,212,168.537005,157.266416,88.877894,57.117934,0.406425,0.379246,0.214328,-0.034593,414.681315,-148.047633
2022 06 24 16 00 00.JPG,213,169.477176,157.168858,91.128876,53.731663,0.405666,0.376205,0.218129,-0.037681,417.774910,-144.388281
2022 06 24 17 00 01.JPG,214,166.068538,156.961247,88.962489,58.891467,0.403087,0.380981,0.215932,-0.028193,411.992273,-145.104806
2022 06 24 18 00 00.JPG,215,175.565036,162.718854,85.953751,63.918921,0.413837,0.383556,0.202608,-0.037975,424.237641,-166.376387
2022 06 25 05 00 01.JPG,216,147.081802,154.818557,109.963231,52.592081,0.357113,0.375898,0.266989,0.025627,411.863590,-81.973898
2022 06 25 06 00 00.JPG,217,138.344427,139.602226,77.759524,63.100502,0.388929,0.392465,0.218606,0.004525,355.706177,-122.427605
2022 06 25 07 00 01.JPG,218,163.074941,157.023303,85.578571,65.393095,0.401982,0.387065,0.210953,-0.018906,405.676816,-148.941103
2022 06 25 08 00 00.JPG,219,161.855462,157.870613,83.299229,70.586535,0.401601,0.391714,0.206685,-0.012463,403.025305,-153.127617
2022 06 25 09 00 00.JPG,220,160.153170,155.197484,82.138831,68.102966,0.402912,0.390444,0.206644,-0.015715,397.489485,-151.072991
2022 06 25 10 00 01.JPG,221,157.760042,150.927697,81.358654,62.736697,0.404465,0.386948,0.208587,-0.022134,390.046393,-145.970430
2022 06 25 11 00 00.JPG,222,157.833210,147.497117,78.808009,58.353016,0.410876,0.383969,0.205155,-0.033852,384.138336,-147.714310
2022 06 25 12 00 00.JPG,223,148.991830,137.771511,71.507572,55.043620,0.415864,0.384546,0.199591,-0.039127,358.270913,-143.748198
2022 06 25 13 00 01.JPG,224,163.766998,154.664056,88.035446,57.525670,0.402904,0.380509,0.216587,-0.028587,406.466500,-142.360163
2022 06 25 14 00 00.JPG,225,167.768122,152.947767,81.095957,57.031454,0.417529,0.380645,0.201826,-0.046210,401.811846,-158.523974
2022 06 25 15 00 00.JPG,226,175.573165,159.803229,82.573323,61.459970,0.420082,0.382350,0.197568,-0.047022,417.949717,-170.229748
2022 06 25 16 00 01.JPG,227,172.187498,155.029119,78.956527,58.914213,0.423926,0.381682,0.194391,-0.052437,406.173144,-169.303562
2022 06 25 17 00 00.JPG,228,172.310487,157.946969,83.156256,60.427196,0.416799,0.382055,0.201145,-0.043492,413.413712,-163.944944
2022 06 25 18 00 00.JPG,229,171.118331,158.559645,85.382462,60.618496,0.412273,0.382016,0.205711,-0.038094,415.060438,-158.913051
2022 06 26 05 00 00.JPG,230,172.507025,155.948683,84.720200,54.670142,0.417515,0.377439,0.205046,-0.050413,413.175908,-159.015307
2022 06 26 06 00 01.JPG,231,172.794472,156.001513,84.123108,55.085445,0.418471,0.377802,0.203728,-0.051074,412.919093,-160.549770
2022 06 26 07 00 00.JPG,232,174.160384,157.362467,83.472873,57.091677,0.419668,0.379191,0.201142,-0.050669,414.995724,-164.577104
2022 06 26 08 00 00.JPG,233,174.698839,158.656905,79.866432,62.748539,0.422772,0.383951,0.193277,-0.048123,413.222176,-173.622879
2022 06 26 09 00 01.JPG,234,172.083152,157.076444,81.835940,60.233796,0.418698,0.382185,0.199116,-0.045591,410.995536,-165.487716
2022 06 26 10 00 00.JPG,235,175.139906,156.262425,80.853748,56.531196,0.424833,0.379042,0.196125,-0.056962,412.256079,-169.694834
2022 06 26 11 00 00.JPG,236,177.854029,159.465273,83.572602,57.503914,0.422565,0.378875,0.198561,-0.054514,420.891904,-170.174097
2022 06 26 12 00 01.JPG,237,170.525513,156.218551,83.416307,58.495281,0.415753,0.380872,0.203375,-0.043786,410.160371,-159.911449
2022 06 26 13 00 00.JPG,238,172.118839,159.717937,84.625897,62.691138,0.413288,0.383511,0.203202,-0.037370,416.462674,-162.584982
2022 06 26 14 00 00.JPG,239,167.609697,156.311010,84.415415,60.596908,0.410470,0.382800,0.206730,-0.034881,408.336122,-155.089877
2022 06 26 15 00 01.JPG,240,174.394424,159.010993,84.072615,59.554946,0.417733,0.380885,0.201382,-0.046140,417.478032,-165.260187
2022 06 26 16 00 00.JPG,241,180.729598,163.247433,80.598100,65.167168,0.425672,0.384496,0.189832,-0.050824,424.575132,-182.780830
2022 06 26 17 00 00.JPG,242,181.776715,163.212120,75.811973,68.835551,0.431978,0.387861,0.180161,-0.053812,420.800808,-193.364889
2022 06 26 18 00 01.JPG,243,191.634253,183.405287,96.226974,78.949347,0.406637,0.389175,0.204188,-0.021942,471.266514,-182.585591
2022 06 27 05 00 01.JPG,244,179.476685,156.096238,77.811850,54.903940,0.434164,0.377605,0.188231,-0.069673,413.384773,-179.949222
2022 06 27 06 00 00.JPG,245,177.549373,153.879931,73.894070,56.316417,0.438044,0.379647,0.182309,-0.071416,405.323374,-183.641163
2022 06 27 07 00 00.JPG,246,181.444240,157.203751,75.828686,57.134577,0.437767,0.379283,0.182950,-0.071580,414.476676,-186.990620
2022 06 27 08 00 01.JPG,247,178.058842,159.819441,80.602336,60.977703,0.425489,0.381904,0.192607,-0.053982,418.480619,-176.673610
2022 06 27 09 00 00.JPG,248,171.178354,157.968743,84.138767,60.620365,0.414189,0.382226,0.203585,-0.040133,413.285865,-160.869564
2022 06 27 10 00 00.JPG,249,165.490612,152.865537,80.679473,59.560989,0.414726,0.383087,0.202186,-0.039657,399.035623,-156.997204
2022 06 27 11 00 01.JPG,250,168.180948,156.190501,83.120989,61.079064,0.412722,0.383297,0.203982,-0.036965,407.492438,-158.129471
2022 06 27 12 00 00.JPG,251,166.113108,152.427008,80.273690,58.467218,0.416518,0.382201,0.201281,-0.042965,398.813806,-157.992735
2022 06 27 13 00 00.JPG,252,157.979125,147.485103,80.377554,56.613528,0.409440,0.382242,0.208317,-0.034354,385.841782,-144.709120
2022 06 27 14 00 01.JPG,253,158.848434,156.670382,90.412402,64.079929,0.391319,0.385953,0.222728,-0.006903,405.931218,-134.694012
2022 06 27 15 00 00.JPG,254,167.280699,150.582409,77.161321,56.722798,0.423469,0.381198,0.195333,-0.052533,395.024429,-163.540465
2022 06 27 16 00 00.JPG,255,164.676925,157.939978,86.673128,64.529904,0.402348,0.385888,0.211765,-0.020882,409.290031,-149.270647
2022 06 27 17 00 01.JPG,256,161.249451,158.988473,96.418605,60.308889,0.387008,0.381582,0.231410,-0.007060,416.656529,-127.400713
2022 06 27 18 00 00.JPG,257,184.379383,168.508271,85.876881,66.760278,0.420224,0.384052,0.195724,-0.044975,438.764535,-181.133893
2022 06 28 05 00 00.JPG,258,146.471956,160.999989,116.206274,59.321749,0.345715,0.380005,0.274280,0.047250,423.678219,-75.059397
2022 06 28 06 00 00.JPG,259,140.027130,159.019096,116.820324,61.190737,0.336712,0.382380,0.280908,0.063508,415.866550,-65.405578
2022 06 28 07 00 01.JPG,260,159.440302,157.308663,97.195426,57.981598,0.385173,0.380024,0.234803,-0.006730,413.944391,-122.358112
2022 06 28 08 00 00.JPG,261,163.452699,157.531208,94.151400,57.458317,0.393734,0.379470,0.226797,-0.018448,415.135306,-132.681106
2022 06 28 09 00 00.JPG,262,163.362107,156.319742,91.298738,57.978639,0.397493,0.380358,0.222149,-0.022029,410.980587,-137.084374
2022 06 28 10 00 01.JPG,263,162.301612,155.606372,89.963279,58.947853,0.397924,0.381509,0.220568,-0.021060,407.871264,-137.981427
2022 06 28 11 00 00.JPG,264,164.869651,155.971651,89.099782,57.973870,0.402179,0.380473,0.217348,-0.027733,409.941084,-142.641739
2022 06 28 12 00 00.JPG,265,168.290330,157.240677,87.330543,58.860480,0.407619,0.380856,0.211525,-0.033943,412.861550,-150.869921
2022 06 28 13 00 01.JPG,266,163.250811,156.316134,92.884042,56.497414,0.395807,0.378993,0.225200,-0.021700,412.450987,-133.798860
2022 06 28 14 00 00.JPG,267,167.125426,158.366050,89.843289,59.763385,0.402387,0.381297,0.216315,-0.026911,415.334764,-145.804898
2022 06 28 15 00 00.JPG,268,161.464847,145.818764,74.298012,55.874667,0.423146,0.382143,0.194711,-0.050917,381.581623,-158.687587
2022 06 28 16 00 01.JPG,269,165.850118,161.894131,97.928336,60.009807,0.389619,0.380325,0.230056,-0.012070,425.672584,-131.887577
2022 06 28 17 00 00.JPG,270,161.079928,156.941444,95.614192,57.188768,0.389425,0.379420,0.231156,-0.013013,413.635564,-126.792988
2022 06 28 18 00 00.JPG,271,189.848368,179.762767,96.404729,73.272438,0.407386,0.385744,0.206870,-0.027287,466.015864,-176.801678
2022 06 29 05 00 00.JPG,272,145.972938,149.855918,87.214520,66.524378,0.381087,0.391224,0.227688,0.013126,383.043375,-121.399817
2022 06 29 06 00 01.JPG,273,135.266143,138.722738,77.117507,65.061827,0.385257,0.395102,0.219641,0.012616,351.106388,-119.753868
2022 06 29 07 00 00.JPG,274,157.333001,156.030508,83.251981,71.476034,0.396689,0.393405,0.209906,-0.004156,396.615489,-146.859547
2022 06 29 08 00 00.JPG,275,160.702732,157.206121,81.795016,71.914494,0.402054,0.393306,0.204639,-0.010999,399.703869,-154.318821
2022 06 29 09 00 01.JPG,276,157.604530,152.435096,80.177113,67.088549,0.403890,0.390642,0.205468,-0.016673,390.216739,-149.685399
2022 06 29 10 00 00.JPG,277,159.296044,154.165588,83.559149,65.475983,0.401228,0.388306,0.210465,-0.016367,397.020781,-146.343333
