OTC,Loc,Src,Rep,Plot,Ind,168,175,185,199,206,214,222,232,239,,,,,,,,,,,,Average,SD
1,SG,CF,1,CF1,A,38.5,49,74,89.5,102,96,97,100,99.5,,,,,,,,,,,,82.83333333,23.83930578
1,SG,CF,1,CF1,B,45,69.5,80,94,100.5,90,101.5,98.5,102,,,,,,,,,,,,86.77777778,19.12640699
1,SG,CF,1,CF1,C,44.5,52,64.5,77,85,93.5,96,80,73,,,,,,,,,,,,73.94444444,17.59162522
1,SG,SG,1,SG1,A,39,55,74,90.5,88,91,95,93,54.5,,,,,,,,,,,,75.55555556,20.92761997
1,SG,SG,1,SG1,B,31,42,45.5,66,67,73.5,68,70,57.5,,,,,,,,,,,,57.83333333,14.87657555
1,SG,SG,1,SG1,C,41.5,63,77,88.5,93.5,99,82,79,67,,,,,,,,,,,,76.72222222,17.58214846
1,SG,TL,1,TL1,A,28.5,36.5,42.5,48.5,44,45.5,48.5,41,20,,,,,,,,,,,,39.44444444,9.615886739
1,SG,TL,1,TL1,B,34.5,67.5,92.5,107,105.5,107.5,113,105,94,,,,,,,,,,,,91.83333333,25.41653005
1,SG,TL,1,TL1,C,41.5,48.5,50,45.5,30.5,22.5,23,21,17,,,,,,,,,,,,33.27777778,13.10322267
0,SG,CF,2,CF2,A,23,37.5,56,71.5,61.5,65,69.5,68,60,,,,,,,,,,,,56.88888889,16.27071329
0,SG,CF,2,CF2,B,30,40.5,59.5,84,82.5,89.5,87.5,87.5,78.5,,,,,,,,,,,,71.05555556,22.32633597
0,SG,CF,2,CF2,C,32.5,50.5,70,77,85,94,99.5,88,80.5,,,,,,,,,,,,75.22222222,21.49289288
0,SG,SG,2,SG2,A,24,28.5,32,40.5,43,43,37.5,31,21.5,,,,,,,,,,,,33.44444444,8.009542919
0,SG,SG,2,SG2,B,31,49.5,64,65,58.5,62,58,66,51.5,,,,,,,,,,,,56.16666667,11.05949818
0,SG,SG,2,SG2,C,30.5,42,58,68,67.5,62,57,55,35,,,,,,,,,,,,52.77777778,13.74797965
0,SG,TL,2,TL2,A,39,51.5,69.5,91.5,88,89,83.5,78,66,,,,,,,,,,,,72.88888889,18.15863737
0,SG,TL,2,TL2,B,33,34.5,60.5,70.5,76.5,74.5,71.5,67.5,51.5,,,,,,,,,,,,60,16.70703445
0,SG,TL,2,TL2,C,44,51,96.5,116.5,130.5,135.5,138.5,132,98,,,,,,,,,,,,104.7222222,35.91927678
0,SG,SG,3,SG3,A,34,46,57.5,62,64.5,63,61,55,27,,,,,,,,,,,,52.22222222,13.6109127
0,SG,SG,3,SG3,B,22.5,28.5,35.5,41.5,43,46,47,46,29.5,,,,,,,,,,,,37.72222222,9.045410131
0,SG,SG,3,SG3,C,32,50,66.5,73,73,68,60,60.5,37.5,,,,,,,,,,,,57.83333333,14.96871738
1,SG,TL,3,TL3,A,35,49,83.5,97.5,100,106,97.5,93.5,83.5,,,,,,,,,,,,82.83333333,24.51785064
1,SG,TL,3,TL3,B,35,45,67,75.5,63.5,78.5,69.5,68.5,55.5,,,,,,,,,,,,62,14.32000349
1,SG,TL,3,TL3,C,33.5,47,58,61.5,68.5,58.5,58,60,51,,,,,,,,,,,,55.11111111,10.13588235
1,SG,SG,4,SG4,A,23,28,33.5,28.5,35.5,38,39.5,38,20.5,,,,,,,,,,,,31.61111111,6.918172527
1,SG,SG,4,SG4,B,27.5,45.5,65,71.5,84.5,81,85.5,73.5,56,,,,,,,,,,,,65.55555556,19.47986853
1,SG,SG,4,SG4,C,18,30.5,36,48,50,50.5,51.5,51.5,44,,,,,,,,,,,,42.22222222,11.72900015
0,SG,TL,4,TL4,A,34.5,56,61.5,74.5,79.5,82.5,94,90,72,,,,,,,,,,,,71.61111111,18.54686257
0,SG,TL,4,TL4,B,39,56.5,77,78.5,92,96.5,96,94.5,67.5,,,,,,,,,,,,77.5,20.08419777
0,SG,TL,4,TL4,C,29,47.5,58.5,58.5,60.5,53,53.5,61.5,38,,,,,,,,,,,,51.11111111,11.11524229
0,SG,CF,5,CF5,A,33.5,50,72,77,82,84.5,90,91,74,,,,,,,,,,,,72.66666667,19.145822
0,SG,CF,5,CF5,B,31.5,39.5,48.5,44.5,49.5,48,50.5,47,34,,,,,,,,,,,,43.66666667,7.01338007
0,SG,CF,5,CF5,C,28,43,57,70,66.5,65.5,67,65,60.5,,,,,,,,,,,,58.05555556,13.85064178
0,SG,SG,5,SG5,A,29.5,45.5,54.5,58,63.5,64.5,63.5,59,36,,,,,,,,,,,,52.66666667,12.80868846
0,SG,SG,5,SG5,B,26.5,43.5,47.5,48,52.5,54,56.5,52.5,35,,,,,,,,,,,,46.22222222,9.823794809
0,SG,SG,5,SG5,C,35.5,46.5,66,77,68,52.5,61,56,29,,,,,,,,,,,,54.61111111,15.59001639
0,SG,TL,5,TL5,A,23.5,15,39,44,49,50,51,44,18,,,,,,,,,,,,37.05555556,14.31005862
0,SG,TL,5,TL5,B,25.5,39.5,50,61,63.5,66,65.5,66,62,,,,,,,,,,,,55.44444444,14.33187977
0,SG,TL,5,TL5,C,30,40.5,60.5,72,70.5,72,67,72.5,42,,,,,,,,,,,,58.55555556,16.5424538
1,SG,CF,6,CF6,A,39.5,57,71.5,88.5,87,91.5,96,93,73,,,,,,,,,,,,77.44444444,19.07295933
1,SG,CF,6,CF6,B,19,27.5,30.5,25.5,26.5,25.5,24.5,25.5,19.5,,,,,,,,,,,,24.88888889,3.638146659
1,SG,CF,6,CF6,C,32,51.5,67.5,74.5,84,91.6,85,95,93,,,,,,,,,,,,74.9,21.32551289
1,SG,SG,6,SG6,A,27,35,43.5,53.5,56.5,55,59,56.5,41.5,,,,,,,,,,,,47.5,11.26388033
1,SG,SG,6,SG6,B,44.5,51,62.5,86.5,82.5,82.5,81.5,70,55,,,,,,,,,,,,68.44444444,15.76278141
1,SG,SG,6,SG6,C,18.5,31.5,46,57,58.5,59.5,62,55.5,34,,,,,,,,,,,,46.94444444,15.44434452
1,SG,TL,6,TL6,A,23.5,30.5,34.5,44,37.5,37,38.5,34,28,,,,,,,,,,,,34.16666667,6.123724357
1,SG,TL,6,TL6,B,29,43,56,64,66.5,71,72,68.5,55.5,,,,,,,,,,,,58.38888889,14.39786828
1,SG,TL,6,TL6,C,37.5,49,61,75.5,81.5,78,81.5,79.5,75,,,,,,,,,,,,68.72222222,15.95914924
0,SG,CF,7,CF7,A,22,43,63,76.5,84.5,83.5,82.5,81,73.5,,,,,,,,,,,,67.72222222,21.67820206
0,SG,CF,7,CF7,B,21,34,41.5,56,58,59,58.5,62,53,,,,,,,,,,,,49.22222222,14.00917358
0,SG,CF,7,CF7,C,22.5,33,48,66,62.5,67.5,63,62.5,48.5,,,,,,,,,,,,52.61111111,15.94478319
1,SG,TL,7,TL7,A,31.5,54,74.5,86.5,89,92,83,77,75.5,,,,,,,,,,,,73.66666667,19.37459677
1,SG,TL,7,TL7,B,28,40.5,53.5,59.5,69,73.5,69.5,65,44,,,,,,,,,,,,55.83333333,15.51209206
1,SG,TL,7,TL7,C,33,35.5,49,51.5,53.5,53.5,37.5,38,26,,,,,,,,,,,,41.94444444,10.11942576
1,SG,CF,8,CF8,A,63,81.5,87.5,98,106,137.5,124,127.5,97,,,,,,,,,,,,102.4444444,23.98234304
1,SG,CF,8,CF8,B,39,55.5,72,82.5,90.5,94,94,95.5,91.5,,,,,,,,,,,,79.38888889,20.07140033
1,SG,CF,8,CF8,C,33,56.5,83.5,111,114,123.5,122,124,120,,,,,,,,,,,,98.61111111,33.47646354
0,SG,TL,8,TL8,A,35,43.5,67.5,60.5,62,69.5,67.5,62,54,,,,,,,,,,,,57.94444444,11.75915719
0,SG,TL,8,TL8,B,33,51.5,58,80.5,85,87,92.5,88.5,86.5,,,,,,,,,,,,73.61111111,20.8653088
0,SG,TL,8,TL8,C,36,42,50.5,74.5,82,85.5,91.5,87,81,,,,,,,,,,,,70,21.20436276
1,SG,SG,9,SG9,A,28,43,52,54,57,60,58.5,55.5,41.5,,,,,,,,,,,,49.94444444,10.46853752
1,SG,SG,9,SG9,B,25.5,42.5,62,70.5,77,78.5,77,76,66.5,,,,,,,,,,,,63.94444444,18.33446966
1,SG,SG,9,SG9,C,32,58.5,72,81.5,86.5,89.5,86,77.5,55.5,,,,,,,,,,,,71,18.96872426
0,SG,SG,10,SG10,A,39,57.5,76,91.5,87,85.6,89.5,71.5,40,,,,,,,,,,,,70.84444444,20.68798632
0,SG,SG,10,SG10,B,24.5,32.5,58,71.5,69,68.5,67,54,21,,,,,,,,,,,,51.77777778,20.32103453
0,SG,SG,10,SG10,C,19,40,48.5,57.5,53,49.5,46,41.5,23.5,,,,,,,,,,,,42.05555556,12.99626015
0,SG,CF,11,CF11,A,31.5,37.5,51,61,53.5,65.5,61,53.5,55,,,,,,,,,,,,52.16666667,11.11867798
0,SG,CF,11,CF11,B,37,57.5,61.5,75,80.5,95,108,96,94,,,,,,,,,,,,78.27777778,22.79543692
0,SG,CF,11,CF11,C,38,48,51.5,57.5,55,59,63,56,34,,,,,,,,,,,,51.33333333,9.730750228
0,SG,SG,11,SG11,A,37,33.5,45,55,57,56.5,58,44.5,30.5,,,,,,,,,,,,46.33333333,10.81665383
0,SG,SG,11,SG11,B,39.5,52,65,73.5,76.5,80,79.5,63,35.5,,,,,,,,,,,,62.72222222,16.90619545
0,SG,SG,11,SG11,C,42.5,60,81.5,82,84.5,89,89,75.5,53,,,,,,,,,,,,73,16.9668795
0,SG,TL,11,TL11,A,21,30.5,36,41.5,45.5,40.5,39.5,41,38,,,,,,,,,,,,37.05555556,7.307720423
0,SG,TL,11,TL11,B,28,43,47,58,60,60.5,61,62.5,49,,,,,,,,,,,,52.11111111,11.48035762
0,SG,TL,11,TL11,C,24,37,42.5,37.5,35,34,33,27.5,22,,,,,,,,,,,,32.5,6.72216483
1,SG,CF,12,CF12,A,26.5,45,51,36.5,37,44.5,31,21.5,22.5,,,,,,,,,,,,35.05555556,10.48345257
1,SG,CF,12,CF12,B,28,40,55.5,69.5,77,75.5,75.5,70.5,66,,,,,,,,,,,,61.94444444,17.37894639
1,SG,CF,12,CF12,C,48,77.5,98,115.5,121.5,119,125,126.5,113.5,,,,,,,,,,,,104.9444444,26.37996925
1,SG,SG,12,SG12,A,39,19.5,60.5,80.5,86.5,88,93.5,88.5,56,,,,,,,,,,,,68,25.89039397
1,SG,SG,12,SG12,B,18.5,15,48,58.5,64,67.1,62.5,49.5,21.5,,,,,,,,,,,,44.95555556,20.98106951
1,SG,SG,12,SG12,C,23,35,48,47,49,47.5,47,51.5,37,,,,,,,,,,,,42.77777778,9.253752992
1,SG,TL,12,TL12,A,39,48.5,75,79.5,85.5,91,85,75.5,68.5,,,,,,,,,,,,71.94444444,17.47577689
1,SG,TL,12,TL12,B,45,54,64.5,83.5,84,83.6,84.5,83.5,69.5,,,,,,,,,,,,72.45555556,15.05382934
1,SG,TL,12,TL12,C,44.5,57,77,89,90,86,90,85.5,51.5,,,,,,,,,,,,74.5,18.32177666
0,SG,CF,13,CF13,A,28,42.5,59.5,58.5,71,76.5,78.5,78.5,81,,,,,,,,,,,,63.77777778,18.44944293
0,SG,CF,13,CF13,B,32.5,39.5,51.5,72.5,73.5,64.5,68.5,80,70.5,,,,,,,,,,,,61.44444444,16.47430659
0,SG,CF,13,CF13,C,21.5,27.5,35,47,48.5,43.5,44,41.5,41.5,,,,,,,,,,,,38.88888889,9.126807279
1,SG,SG,13,SG13,A,23,32.5,44.5,54,57.5,58,62,53,37.5,,,,,,,,,,,,46.88888889,13.34114355
1,SG,SG,13,SG13,B,30,37,52,59,65.5,68.5,66.5,58.5,41.5,,,,,,,,,,,,53.16666667,13.97766075
1,SG,SG,13,SG13,C,31,50,54.5,63.5,68.5,72,73.5,71,45,,,,,,,,,,,,58.77777778,14.63965315
0,SG,TL,13,TL13,A,41,64.5,94,113.5,114,114,112.5,101,63,,,,,,,,,,,,90.83333333,27.6620227
0,SG,TL,13,TL13,B,25.5,49,65.5,74.5,84.5,87,83,75,69.5,,,,,,,,,,,,68.16666667,19.76423538
0,SG,TL,13,TL13,C,23,31.5,40.5,54,59,63.6,68,60,45.5,,,,,,,,,,,,49.45555556,15.35025335
1,SG,CF,14,CF14,A,45,58,74.5,82.5,83.5,96.5,81.5,84.5,84.5,,,,,,,,,,,,76.72222222,15.71645458
1,SG,CF,14,CF14,B,35,58,74.5,90,93.5,95,91,96,93.5,,,,,,,,,,,,80.72222222,21.21631317
1,SG,CF,14,CF14,C,35,56.5,88.5,95.5,96.5,102,97,96,94,,,,,,,,,,,,84.55555556,22.91348463
0,SG,SG,14,SG14,A,16,24,32,41,44.5,44,40.5,30.5,18,,,,,,,,,,,,32.27777778,11.01734743
0,SG,SG,14,SG14,B,28,44.5,53,66,66,67.5,65.5,59,38.5,,,,,,,,,,,,54.22222222,14.29403528
0,SG,SG,14,SG14,C,16,22,28,33.5,34,37,34,36.5,23,,,,,,,,,,,,29.33333333,7.454025758
1,SG,TL,14,TL14,A,38,60.5,77,80.5,87.5,86.1,85.5,85.5,47,,,,,,,,,,,,71.95555556,18.75514004
1,SG,TL,14,TL14,B,37.5,64.5,72.5,78,94.5,98.5,98,95.5,78.5,,,,,,,,,,,,79.72222222,20.07814594
1,SG,TL,14,TL14,C,35,58.5,71,81.5,87.5,84.5,83,80,61,,,,,,,,,,,,71.33333333,17.10628539
1,SG,CF,15,CF15,A,27,38.5,45,59.5,64,66.5,69.5,71.5,73.5,,,,,,,,,,,,57.22222222,16.46987992
1,SG,CF,15,CF15,B,21,32,43.5,54.5,57,55.5,55.5,56,49,,,,,,,,,,,,47.11111111,12.74209995
1,SG,CF,15,CF15,C,34,48.5,55,62.5,56.5,58,46.5,45.5,35,,,,,,,,,,,,49.05555556,9.970094171
1,SG,TL,15,TL15,A,29.5,44,58.5,64,71.5,73,69.5,66.5,60.5,,,,,,,,,,,,59.66666667,14.30690393
1,SG,TL,15,TL15,B,36,52,59,71,75,72.5,71.5,65.5,53.5,,,,,,,,,,,,61.77777778,12.8430699
1,SG,TL,15,TL15,C,45,59,88,90,107.5,118,108.5,117,100,,,,,,,,,,,,92.55555556,25.4772502
0,SG,CF,16,CF16,A,34,43,31.5,39.5,43.5,41,35,18,16,,,,,,,,,,,,33.5,10.21946672
0,SG,CF,16,CF16,B,30,35.5,39,39,37,41,28.5,22,10.5,,,,,,,,,,,,31.38888889,9.946034944
0,SG,CF,16,CF16,C,28,61,74.5,89.5,93,95.5,89.5,79,76,,,,,,,,,,,,76.22222222,21.13514714
0,SG,TL,16,TL16,A,28,57.5,76.2,75.5,80,81.5,79,79,68.5,,,,,,,,,,,,69.46666667,17.25862103
0,SG,TL,16,TL16,B,37,57.5,64,73.5,76,73.5,65.5,69.5,53,,,,,,,,,,,,63.27777778,12.47274807
0,SG,TL,16,TL16,C,44,70.5,74.5,80,86,107,109,108.5,100.5,,,,,,,,,,,,86.66666667,21.95165142
1,SG,CF,17,CF17,A,27.5,47,65.6,61.5,88.5,81,84,83.5,82.5,,,,,,,,,,,,69.01111111,20.66340028
1,SG,CF,17,CF17,B,30.5,61,69,79.5,75,77.1,79.5,79,76.5,,,,,,,,,,,,69.67777778,15.89211894
1,SG,CF,17,CF17,C,33,54.5,63.5,71,68.5,74.5,68,57.5,37.5,,,,,,,,,,,,58.66666667,14.72879832
0,SG,SG,17,SG17,A,26,44.5,55.5,69,67.5,64,63,60,38.5,,,,,,,,,,,,54.22222222,14.7502354
0,SG,SG,17,SG17,B,17,27.5,34.5,36,38.5,38.5,31,30.5,18,,,,,,,,,,,,30.16666667,8.070006196
0,SG,SG,17,SG17,C,22,40.5,56,70.5,64.5,59,45,41.5,35,,,,,,,,,,,,48.22222222,15.47399252
0,SG,TL,17,TL17,A,26.5,49.5,76,83,89.5,89.5,90.5,94,63.5,,,,,,,,,,,,73.55555556,22.92030274
0,SG,TL,17,TL17,B,6,8.5,8,7,7,6,4,0,,,,,,,,,,,,,5.8125,2.72472148
0,SG,CF,18,CF18,A,19,31,29,26,23,18.5,9,0,,,,,,,,,,,,,19.4375,10.47935896
0,SG,CF,18,CF18,B,25.5,40,56.5,67.5,69.5,68,72,69,48.5,,,,,,,,,,,,57.38888889,16.23610517
0,SG,CF,18,CF18,C,23,57.5,65,76.5,76.5,73,73.5,79.5,77,,,,,,,,,,,,66.83333333,17.83605898
1,SG,SG,18,SG18,A,23,30.5,48,63.5,50.5,50.5,57.5,52,41.5,,,,,,,,,,,,46.33333333,12.78426768
1,SG,SG,18,SG18,B,19,28,33.5,36.5,38.5,38,47.5,41.5,24,,,,,,,,,,,,34.05555556,8.959786704
1,SG,SG,18,SG18,C,25,46,60.5,71.5,79,79.6,79,74,51.5,,,,,,,,,,,,62.9,18.88193581
1,SG,TL,18,TL18,A,25,44.5,53,54.5,60,62.5,54.5,46,33.5,,,,,,,,,,,,48.16666667,12.3440269
1,SG,TL,18,TL18,B,22,30,37,40,47.5,48,53,54,47.5,,,,,,,,,,,,42.11111111,10.80734061
1,SG,TL,18,TL18,C,20,41.5,51.5,59,65,69,69,67.5,49,,,,,,,,,,,,54.61111111,16.27263381
0,SG,CF,19,CF19,A,25,35.5,46.5,60,62,58,58,57,47,,,,,,,,,,,,49.88888889,12.6362024
0,SG,CF,19,CF19,B,25,38,63.5,66,66.5,67.5,69.5,72.5,64.5,,,,,,,,,,,,59.22222222,16.26751193
0,SG,CF,19,CF19,C,28,52,60,67,67,65.5,60,60.5,51.5,,,,,,,,,,,,56.83333333,12.23979166
0,SG,SG,19,SG19,A,26,40,58,68,72.5,72.5,75,77,53,,,,,,,,,,,,60.22222222,17.6743301
0,SG,SG,19,SG19,B,32,40.5,65.5,75.5,80.5,84,83.5,83.5,72.5,,,,,,,,,,,,68.61111111,19.4434722
0,SG,SG,19,SG19,C,23,28,31,33.5,35,36.5,35,28,15.5,,,,,,,,,,,,29.5,6.805328794
1,SG,CF,20,CF20,A,27,38,51,57.5,55.5,57,57,57,58.5,,,,,,,,,,,,50.94444444,11.0211287
1,SG,CF,20,CF20,B,43,72,87,106,124,125.5,127,137,133,,,,,,,,,,,,106.0555556,32.25139963
1,SG,CF,20,CF20,C,27,49,69,80.5,93,95.5,104,105.5,105.5,,,,,,,,,,,,81,27.76688675
1,SG,SG,20,SG20,A,43,51,32.5,42.5,37.5,37,34,29,19,,,,,,,,,,,,36.16666667,9.175374652
1,SG,SG,20,SG20,B,26,40.5,52,57,64.5,70.1,60,54.5,43,,,,,,,,,,,,51.95555556,13.54779605
1,SG,SG,20,SG20,C,53,64,101,106.5,106,110,103,104.5,72,,,,,,,,,,,,91.11111111,21.75542716